Doi,Novelty,Year
10.1371/journal.pbio.0000012,2.5681251156807186,2003
10.1371/journal.pbio.0000078,3.597215454446593,2003
10.1371/journal.pbio.0020001,8.778880325580673,2004
10.1371/journal.pbio.0020296,1.8158430858799404,2004
10.1371/journal.pbio.0020350,5.409773271548864,2004
10.1371/journal.pmed.0010016,4.036888278598546,2004
10.1371/journal.pbio.0020008,3.028595279220236,2004
10.1371/journal.pbio.0020113,4.32700676599133,2004
10.1371/journal.pbio.0020211,2.266912831962672,2004
10.1371/journal.pbio.0020065,1.7701842424338488,2004
10.1371/journal.pbio.0020019,1.890222111859875,2004
10.1371/journal.pmed.0010039,2.906591794880899,2004
10.1371/journal.pbio.0020330,4.358898943540674,2004
10.1371/journal.pbio.0020137,3.483792468524256,2004
10.1371/journal.pbio.0020234,4.70617076823848,2004
10.1371/journal.pmed.0020019,4.165972120148549,2005
10.1371/journal.pbio.0030003,2.756516618786783,2005
10.1371/journal.pmed.0020378,15.226322901177062,2005
10.1371/journal.pbio.0030009,7.126663871772198,2005
10.1371/journal.pmed.0020209,15.22632290117706,2005
10.1371/journal.pmed.0020210,3.195004490024258,2005
10.1371/journal.pmed.0020215,15.226322901177058,2005
10.1371/journal.pbio.0030016,5.214812596486468,2005
10.1371/journal.pmed.0020042,15.226322901177058,2005
10.1371/journal.pmed.0020129,8.94721362095191,2005
10.1371/journal.pbio.0030143,11.272911357654465,2005
10.1371/journal.pbio.0030262,8.725870418810086,2005
10.1371/journal.pbio.0030382,49.978477370894254,2005
10.1371/journal.pmed.0020059,3.0,2005
10.1371/journal.pmed.0020064,5.196152422706632,2005
10.1371/journal.pmed.0020230,3.627381250550058,2005
10.1371/journal.pbio.0030273,2.1643594968470747,2005
10.1371/journal.pmed.0020317,15.226322901177062,2005
10.1371/journal.pmed.0020318,15.33851396558215,2005
10.1371/journal.pbio.0030053,10.603204756548266,2005
10.1371/journal.pmed.0020071,15.226322901177058,2005
10.1371/journal.pbio.0030059,3.4267570174853184,2005
10.1371/journal.pbio.0030410,6.8983019950018445,2005
10.1371/journal.pbio.0030182,1.7474547174773285,2005
10.1371/journal.pbio.0030305,1.815193995562085,2005
10.1371/journal.pmed.0020081,1.9862918192594032,2005
10.1371/journal.pbio.0030186,4.128773220780914,2005
10.1371/journal.pbio.0030314,9.947973736067272,2005
10.1371/journal.pbio.0030203,7.251316740088744,2005
10.1371/journal.pmed.0020097,16.61976021788046,2005
10.1371/journal.pcbi.0010013,9.401736829685502,2005
10.1371/journal.pbio.0030337,3.5697483940306665,2005
10.1371/journal.pbio.0030338,2.357483509591634,2005
10.1371/journal.pmed.0030067,10.701577545395956,2006
