Doi,Novelty,Year
10.1371/journal.pbio.0020001,8.778880325580673,2004
10.1371/journal.pmed.0010016,4.036888278598546,2004
10.1371/journal.pbio.0020113,4.82165938372348,2004
10.1371/journal.pmed.0010039,2.9065917948808986,2004
10.1371/journal.pbio.0020330,4.358898943540674,2004
10.1371/journal.pbio.0020137,4.358898943540674,2004
10.1371/journal.pmed.0020019,3.7267799624996494,2005
10.1371/journal.pmed.0020378,15.22632290117706,2005
10.1371/journal.pmed.0020209,15.22632290117706,2005
10.1371/journal.pmed.0020210,3.195004490024258,2005
10.1371/journal.pmed.0020215,15.22632290117706,2005
10.1371/journal.pmed.0020042,15.22632290117706,2005
10.1371/journal.pmed.0020129,8.94721362095191,2005
10.1371/journal.pbio.0030382,49.978477370894254,2005
10.1371/journal.pmed.0020059,3.0,2005
10.1371/journal.pmed.0020064,5.196152422706632,2005
10.1371/journal.pmed.0020230,3.627381250550058,2005
10.1371/journal.pmed.0020317,15.22632290117706,2005
10.1371/journal.pmed.0020318,15.33851396558215,2005
10.1371/journal.pmed.0020071,15.22632290117706,2005
10.1371/journal.pbio.0030059,3.4267570174853184,2005
10.1371/journal.pmed.0020081,1.9862918192594032,2005
10.1371/journal.pmed.0020097,16.61976021788046,2005
10.1371/journal.pmed.0030067,10.701577545395956,2006
10.1371/journal.pmed.0030073,10.701577545395956,2006
10.1371/journal.pmed.0030464,10.701577545395956,2006
10.1371/journal.pone.0000060,9.666666666666664,2006
10.1371/journal.pcbi.0020160,6.993786061802353,2006
10.1371/journal.pcbi.0020171,-7.650300229145201,2006
10.1371/journal.pmed.0030160,10.511299564136838,2006
10.1371/journal.pmed.0030010,-7.622475373049435,2006
10.1371/journal.pone.0000010,10.395744958196849,2006
10.1371/journal.pmed.0030030,3.3541019662496847,2006
10.1371/journal.pone.0000024,3.2546546733514004,2006
10.1371/journal.pone.0000886,6.6453961749906725,2007
10.1371/journal.pone.0000453,-8.54847177910695,2007
10.1371/journal.pmed.0040211,16.345948894110393,2007
10.1371/journal.pmed.0040221,118.3417200815689,2007
10.1371/journal.pmed.0040001,-11.110231328345188,2007
10.1371/journal.pone.0000274,-16.12936584247657,2007
10.1371/journal.pmed.0040265,118.3417200815689,2007
10.1371/journal.pmed.0040268,118.3417200815689,2007
10.1371/journal.pone.0000504,-8.54847177910695,2007
10.1371/journal.pmed.0040040,15.67858991804371,2007
10.1371/journal.pmed.0040057,16.345948894110393,2007
10.1371/journal.pmed.0040310,118.3417200815689,2007
10.1371/journal.pmed.0040330,-8.122875267632278,2007
10.1371/journal.pmed.0040089,118.3417200815689,2007
10.1371/journal.pone.0000787,-8.54847177910695,2007
